band,policies,exposure,actual_loss,model_premium,mean_annual_pp,actual_loss_ratio,model_avg_pp,loss_ratio
1,13561,8479.506008669,857870.61,641935.5451407763,75.6522154981803,101.16988054763549,75.70435641940642,1.3363812247098252
2,13560,8481.934427715,642471.4400000001,803592.383001467,94.7693722315155,75.74586263019242,94.74164058327337,0.7994991659830444
3,13560,8254.007597859,587840.82,890748.6049378192,107.93171570692407,71.21883679298763,107.91710503984389,0.6599402084284326
4,13561,8110.880014211,1153835.0,972832.8103392553,119.96702740871386,142.25768325735012,119.94170899270654,1.1860568308727417
5,13560,7831.933702361,1160031.76,1038199.1539546284,132.61711745485547,148.11562560218036,132.5597474914343,1.1173499377082867
6,13560,7384.460333098,893665.84,1095272.1248044255,148.41981682909986,121.01979016590921,148.32121446915897,0.8159304156120791
7,13560,6815.132078735,1160709.62,1168490.7313892038,171.69028534981751,170.31359137143045,171.45533173673942,0.9933408873684836
8,13560,6136.579956567,1632411.07,1299374.5844723738,212.0756323642562,266.0131671963455,211.74246790052186,1.2563052175311398
9,13560,5703.303096768,1501539.97,1692114.6415008467,298.8205678510105,263.2754992191992,296.69028855572304,0.8873748463450363
10,13561,4385.865424775,1465314.54,2670176.472492678,623.5402342560602,334.0992935448247,608.8140455494394,0.5487706730604556
