decile,policies,exposure,actual_loss,model_premium,naive_premium,actual_loss_ratio,model_avg_pp,lift,cum_exposure_share,cum_loss_share
1,13561,10552.27,2516525.35,3942997.736136602,1629739.6146962845,238.48189536469405,373.66346161883666,1.5441272503331616,0.14741183191011667,0.22762262667394262
2,13560,11419.51,1379150.88,2024333.167138928,1763680.0259489538,120.7714586702932,177.2697048418827,0.7819734077092262,0.3069387288352234,0.3523684178837468
3,13560,11632.09,1100796.96,1628760.608397527,1796511.8287072359,94.63449474685976,140.02304043362173,0.6127412814154026,0.46943530026898583,0.45193677528967985
4,13560,11037.38,1150336.8499999999,1366404.4896162702,1704662.16543516,104.22191226541081,123.7979021847821,0.6748180802771241,0.6236239634938733,0.5559860730075944
5,13561,9767.29,1067692.1400000001,1131463.0021009548,1508503.8045109604,109.31303770032424,115.84206080713838,0.7077821990287478,0.7600698762403594,0.652560061179787
6,13560,7377.64,1195876.53,882757.0598748481,1139435.6068379502,162.09472541354688,119.65304079283457,1.0495341051511275,0.8631331439138887,0.7607284755914757
7,13560,4801.22,1012268.03,623818.1489270277,741521.8178526607,210.8355855386756,129.92909071590714,1.365122381606223,0.9302046494386232,0.8522892889513162
8,13560,2868.81,634818.22,389071.96717072366,443071.8038902386,221.28276881354986,135.62137861019855,1.4327660086383254,0.970281006232191,0.9097093307152018
9,13560,1471.062854255,330067.51,206174.23728428857,227197.50435570357,224.37349229864026,140.1532481687893,1.4527778856375186,0.9908312831110667,0.9395643185085605
10,13561,656.329786503,668158.2000000001,76956.63538630444,101366.49776485002,1018.0220580266869,117.2529983689117,6.591509174461106,1.0,1.0
