decile,policies,exposure,actual_loss,model_premium,naive_premium,actual_loss_ratio,model_avg_pp,lift,cum_exposure_share,cum_loss_share
1,13561,4385.865424775,1465314.54,2670176.472492678,677372.6058452413,334.0992935448247,608.8140455494394,2.1632326541631346,0.06126913515076136,0.13253939385046126
2,13560,5703.303096768,1501539.97,1692114.6415008467,880843.5522804862,263.2754992191992,296.69028855572304,1.7046613625229399,0.1409424525917681,0.26835541971617044
3,13560,6136.579956567,1632411.07,1299374.5844723738,947760.7618046586,266.0131671963455,211.74246790052186,1.722387268799437,0.2266685089815729,0.41600888784635287
4,13560,6815.132078735,1160709.62,1168490.7313892038,1052559.376143888,170.31359137143045,171.45533173673942,1.1027497795443395,0.32187372117153085,0.5209964146003011
5,13561,7384.990333098,893665.84,1095346.2576920479,1140570.8250451249,121.01110491570645,148.320608191311,0.783525073916075,0.42503967064405934,0.601829522786386
6,13560,7832.403702361,1160031.76,1038250.9647167758,1209671.3401032733,148.10673760985023,132.5584078874542,0.9589644075563241,0.534455841574543,0.7067557363198187
7,13560,8109.880014211,1153835.0,972706.8666894855,1252526.0185337688,142.2752245382332,119.94096891507697,0.921206412423034,0.6477482677033367,0.8111214457486264
8,13560,8254.007597859,587840.82,890748.6049378192,1274785.724989498,71.21883679298763,107.91710503984389,0.4611291203506713,0.763054110010292,0.864292327382926
9,13560,8481.934427715,642471.44,803592.383001467,1309987.7605580026,75.7458626301924,94.74164058327337,0.49044079597074464,0.8815440171232597,0.9224046117419095
10,13561,8479.506008669,857870.61,641935.5451407763,1309612.7046960555,101.16988054763549,75.70435641940642,0.6550567254912978,0.9999999999999998,1.0
