factor,level,policies,exposure,claimnb,freq_hat,actual_loss,model_premium,n_claims,claim_amount,obs_frequency,pred_frequency,obs_severity,pred_severity,loss_ratio
Area,A,20750,12374.745549789,981,1017.2909455247783,1873468.46,1722903.6180318752,661,1873468.46,0.07927435728298485,0.08220701924187232,2834.2941906202723,1693.6193383133873,1.0873901710997156
Area,B,15171,8617.476526668,742,763.5393199397372,782745.25,1329219.4864376786,504,782745.25,0.08610409296779353,0.08860358569899862,1553.0659722222222,1740.8657965939306,0.5888758463041834
Area,C,38278,20879.503035367,2006,1964.4732280094515,2865680.76,3152760.458062583,1444,2865680.76,0.09607508361679454,0.09408620620337106,1984.543462603878,1604.888482627575,0.9089433840974401
Area,D,30402,15426.127481813,1706,1684.6074632809234,2825625.7199999997,2942642.46773173,1324,2825625.7199999997,0.11059159221984449,0.10920481924365213,2134.1583987915405,1746.782281256591,0.9602341266345109
Area,E,27379,12658.260859312,1567,1556.10499068342,2523623.38,2785960.1134890607,1228,2523623.38,0.1237926771628539,0.12293197367146036,2055.067899022801,1790.3419950253517,0.9058361488311053
Area,F,3623,1627.489187809,223,229.82526385391225,184547.1,339250.90828054695,151,184547.1,0.1370208795673861,0.14121461793753204,1222.166225165563,1476.1253945353492,0.5439840999552665
VehPowerBand,4-,23096,12036.347201112,1114,1146.1308087140658,1565745.65,1942194.3455230633,797,1565745.65,0.09255299646865298,0.0952224781791089,1964.5491217063989,1694.566039719466,0.8061735189422149
VehPowerBand,5,24809,13501.384052669,1500,1427.8991519530532,1794238.08,2285801.477298114,1054,1794238.08,0.11109972089887146,0.10575946483581297,1702.3131688804556,1600.8143671572593,0.7849492170776106
VehPowerBand,6,29865,16559.300226778,1664,1678.793028039374,2597456.04,2921244.886963485,1253,2597456.04,0.10048733806451254,0.10138067460873752,2072.989656823623,1740.0863824024475,0.8891606628364355
VehPowerBand,7,29168,15603.398044732,1551,1524.6128496675383,2795681.02,2609650.462412046,1150,2795681.02,0.09940142496868795,0.0977103093375405,2431.0269739130435,1711.6807476607023,1.0712856224492264
VehPowerBand,8-9,15283,7488.85926864,705,725.6714157229602,994748.62,1231283.9457839176,551,994748.62,0.0941398382197173,0.09690012720118112,1805.3513974591651,1696.751338286122,0.8078953870925983
VehPowerBand,10-15,13382,6394.313846827,691,712.7339571952314,1307821.26,1282561.9340528485,507,1307821.26,0.10806476137277646,0.11146371202109602,2579.5291124260357,1799.4960407106441,1.0196944297787889
VehAgeBand,0,11811,3377.932545821,1027,1070.7236781469878,476001.89,1971088.7330384967,220,476001.89,0.30403212203587376,0.3169760389299753,2163.6449545454548,1840.8939423565337,0.24149186285806007
VehAgeBand,1,14170,6584.104925506,604,583.7320052536834,1226156.03,1035820.9900286491,472,1226156.03,0.0917360836186221,0.08865776166360571,2597.7881991525423,1774.4803791912916,1.1837528316220804
VehAgeBand,2-4,30679,16024.655019057,1499,1482.3622143715975,2776448.81,2597869.0614833427,1207,2776448.81,0.09354335542433484,0.09250509372019104,2300.2889892294947,1752.5197527951227,1.0687408580995577
VehAgeBand,5-10,42009,24132.803167105,2360,2395.4423122500025,3618951.55,3960635.803559067,1910,3618951.55,0.0977922035686627,0.09926083993073742,1894.7390314136126,1653.4047943066107,0.913729948799628
VehAgeBand,11+,36934,21464.106983269,1735,1683.5810012699515,2958132.39,2707322.4639239185,1503,2958132.39,0.08083261984076069,0.07843703922004681,1968.1519560878244,1608.0737795697046,1.0926413197608402
DrivAgeBand,18-20,1331,492.669270154,126,122.98232217666214,327548.51,308594.1093448308,122,327548.51,0.25574966338090166,0.2496245039562138,2684.8238524590165,2509.2558335460626,1.061421783764476
DrivAgeBand,21-25,6375,2687.841889348,416,445.46303062525186,681350.62,791469.0609013743,338,681350.62,0.15477100853611248,0.16573260220053698,2015.8302366863904,1776.7334357476723,0.8608682937322091
DrivAgeBand,26-30,13074,5796.604730876,605,619.6542826855369,873211.38,1044865.2906291906,455,873211.38,0.10437144295477443,0.10689952333387634,1919.1458901098902,1686.2068411773414,0.835716707054337
DrivAgeBand,31-40,34103,16769.753812363,1537,1507.8783224245192,2494928.28,2575093.119125375,1191,2494928.28,0.09165310458325826,0.08991654494730154,2094.8180352644836,1707.759227538254,0.9688691494183312
DrivAgeBand,41-50,32939,17642.75376073,1843,1831.8297443767156,2628048.86,2956787.4596140543,1336,2628048.86,0.10446215058004316,0.10382901497237246,1967.1024401197603,1614.1169607550555,0.8888189955807766
DrivAgeBand,51-60,27210,15243.447432412,1450,1454.9632374559894,1997963.74,2462014.1308839,1047,1997963.74,0.09512283926776817,0.09544843736347426,1908.27482330468,1692.1486863054658,0.8115159514875331
DrivAgeBand,61-70,12711,7593.410019453,687,712.5656408122832,723869.28,1155956.8785273877,467,723869.28,0.09047318638662012,0.09384000587177743,1550.041284796574,1622.2461655738332,0.6262078572707326
DrivAgeBand,71+,7860,5357.121725422,561,520.5046307352645,1328770.0,977957.0030073615,356,1328770.0,0.10472041307887361,0.09716124766499729,3732.5,1878.8632132357786,1.358720266753893
BonusMalusBand,50,76946,45019.430639192,3619,3596.064312149828,5019582.23,5896524.62548796,2337,5019582.2299999995,0.08038751153928304,0.07987804956865108,2147.874296106119,1639.7161211955224,0.8512780915562802
BonusMalusBand,51-60,18805,9602.91598321,953,904.2405632331576,1681453.21,1499240.9706824103,760,1681453.21,0.0992406891475726,0.09416312345272586,2212.4384342105263,1658.0111882194258,1.121536325968101
BonusMalusBand,61-80,23605,10510.924438927,1381,1411.5905058554747,2124160.2199999997,2435764.1677449625,1155,2124160.2199999997,0.13138711138341874,0.13429746489544508,1839.0997575757574,1725.5458701663636,0.8720713803613235
