model,factor,level,coef,relativity,std_err,z,p_value,is_base,degenerate
frequency,Intercept,"(base mean, log scale)",-1.613558105666158,0.19917765662373602,0.12166739649983828,-13.262041862367811,3.84288054368788e-40,False,False
frequency,Area,B,0.023617271700610162,1.023898368009114,0.02848826913167972,0.829017431401163,0.4070945435981804,False,False
frequency,Area,C,0.017881156066393712,1.0180419810865486,0.037048837583452475,0.4826374383843062,0.6293531915230328,False,False
frequency,Area,D,0.06436415901742219,1.0664806966187115,0.05607532645202769,1.1478160376379722,0.2510445152142422,False,False
frequency,Area,E,0.07083631362045148,1.0734055096259139,0.07471413752397327,0.9480978562821859,0.3430796394987792,False,False
frequency,Area,F,0.05404539290602387,1.0555325147558732,0.1029296150197723,0.5250713596435973,0.5995335850309322,False,False
frequency,VehPowerBand,5,0.17010042389395352,1.1854238902261323,0.020421010550303757,8.329677097758676,8.106314875975985e-17,False,False
frequency,VehPowerBand,6,0.20568983024210197,1.2283721410116741,0.0203135914341692,10.12572448888157,4.24820861262089e-24,False,False
frequency,VehPowerBand,7,0.11617163496828152,1.1231886340360169,0.020098492246394657,5.780116913452591,7.464873155038812e-09,False,False
frequency,VehPowerBand,8-9,0.07857886913651577,1.0817486683813449,0.02421470405920894,3.2450889733930874,0.0011741393163408813,False,False
frequency,VehPowerBand,10-15,0.16590835336530743,1.1804649111292222,0.025376498519562994,6.5378741372615705,6.239940064284977e-11,False,False
frequency,VehPowerBand,16+,-6.310354288804062e-16,0.9999999999999993,2.9895459603713453e-16,-2.110806915984066,0.034788911441648196,False,True
frequency,VehAgeBand,1,-1.254798659892521,0.285133251204942,0.025925745277247277,-48.39971412485281,0.0,False,False
frequency,VehAgeBand,2-4,-1.1879168423609427,0.30485566546655163,0.02081140038326106,-57.08010131391269,0.0,False,False
frequency,VehAgeBand,5-10,-1.1267514572679265,0.32408435009662806,0.0206213839245896,-54.63995342836093,0.0,False,False
frequency,VehAgeBand,11+,-1.3652249469711746,0.25532323533930984,0.022314710400068456,-61.18049136622389,0.0,False,False
frequency,DrivAgeBand,21-25,-0.4335519529974053,0.6482026156720134,0.050375338524697104,-8.60643254605329,7.5369467138221e-18,False,False
frequency,DrivAgeBand,26-30,-0.6355827960677155,0.5296267339779807,0.04983882593255967,-12.752764218959856,3.0088392844830898e-37,False,False
